ds,yhat
2021-01-01,0.8400284207068657
2021-01-02,0.7772142545664062
2021-01-03,0.7867146412205002
2021-01-04,1.1066860031350483
2021-01-05,1.0395251353554273
2021-01-06,0.8777006341283433
2021-01-07,0.5948473830470868
2021-01-08,0.4192600471891612
2021-01-09,0.4031533391687365
2021-01-10,0.46514929943338934
2021-01-11,0.8417289234006735
2021-01-12,0.8334939111288141
2021-01-13,0.7310548128070078
2021-01-14,0.5061841490504844
2021-01-15,0.385368613851088
2021-01-16,0.4191262790159813
2021-01-17,0.5245472525145326
2021-01-18,0.9367934445389723
2021-01-19,0.9554017018704744
2021-01-20,0.8702052798974635
2021-01-21,0.652511179491452
2021-01-22,0.5286666901184203
2021-01-23,0.5493806011818989
2021-01-24,0.6322574015151089
2021-01-25,1.0132803172427234
2021-01-26,0.9930879683519014
2021-01-27,0.8628604405906773
2021-01-28,0.5954534093771682
2021-01-29,0.41891501455267927
2021-01-30,0.38575251131066024
2021-01-31,0.4154087379491921
2021-02-01,0.745686071732154
2021-02-02,0.6789645411590166
2021-02-03,0.5080317170203127
2021-02-04,0.20716484148151787
2021-02-05,0.0056015395578092875
2021-02-06,-0.04323237531951485
2021-02-07,-0.019276704557998736
2021-02-08,0.3155663878428301
2021-02-09,0.2636400252528166
2021-02-10,0.1173626909967648
2021-02-11,-0.14967881655242826
2021-02-12,-0.3092374881635964
2021-02-13,-0.30914739103149547
2021-02-14,-0.23083778495971408
2021-02-15,0.16211737132977302
2021-02-16,0.17026039500920345
2021-02-17,0.08413768855835557
2021-02-18,-0.12454697665004366
2021-02-19,-0.2293795571634955
2021-02-20,-0.17991728396400475
2021-02-21,-0.059146221766427115
2021-02-22,0.3680207692556007
2021-02-23,0.4010498590716563
2021-02-24,0.3297107335185209
2021-02-25,0.1252571478800723
2021-02-26,0.013996751225859805
2021-02-27,0.046615490780605756
2021-02-28,0.14071475487545554
2021-03-01,0.5322969409316816
2021-03-02,0.522044069199024
2021-03-03,0.40120509202122234
2021-03-04,0.14273039538802879
2021-03-05,-0.025211897517375098
2021-03-06,-0.04997089044957559
2021-03-07,-0.0119391387486696
2021-03-08,0.3268675346597569
2021-03-09,0.26902332114217187
2021-03-10,0.10751654244745257
2021-03-11,-0.18317485029019703
2021-03-12,-0.3736198697168539
2021-03-13,-0.4102144678520112
2021-03-14,-0.3727433629534382
2021-03-15,-0.022984792733829966
2021-03-16,-0.058510572106447965
2021-03-17,-0.18686314064275739
2021-03-18,-0.43446884886800785
2021-03-19,-0.5731511433317423
2021-03-20,-0.5508755115930389
2021-03-21,-0.4492655996616312
2021-03-22,-0.0321528689362358
2021-03-23,0.0006862248237390692
2021-03-24,-0.060578025689374884
2021-03-25,-0.24466924685863087
2021-03-26,-0.32564395527258216
2021-03-27,-0.253563009961136
2021-03-28,-0.11193728722864843
2021-03-29,0.333787785218098
2021-03-30,0.38255271289956333
2021-03-31,0.32362394048823506
2021-04-01,0.12779036643075453
2021-04-02,0.020949107270259063
2021-04-03,0.05344534185406214
2021-04-04,0.14262387516864627
2021-04-05,0.5243276247256388
2021-04-06,0.4991871573561953
2021-04-07,0.35851647407968545
2021-04-08,0.07545314458755265
2021-04-09,-0.12152295817194111
2021-04-10,-0.17932563989491077
2021-04-11,-0.17779326114606275
2021-04-12,0.12172308575414217
2021-04-13,0.0225608174328929
2021-04-14,-0.18144560574209137
2021-04-15,-0.5149080491415512
2021-04-16,-0.7474430885557544
2021-04-17,-0.8244762298849289
2021-04-18,-0.8248298642867758
2021-04-19,-0.5093553790284302
2021-04-20,-0.5747610756476287
2021-04-21,-0.7278167996013104
2021-04-22,-0.9942937150076501
2021-04-23,-1.1455020559932043
2021-04-24,-1.1290578975111984
2021-04-25,-1.0264175740146815
2021-04-26,-0.6014413868000328
2021-04-27,-0.5541399377627401
2021-04-28,-0.5947861044543654
2021-04-29,-0.7527535711553291
2021-04-30,-0.8029475332081577
2021-05-01,-0.6964616362399301
2021-05-02,-0.5180029178863608
2021-05-03,-0.034349650480761634
2021-05-04,0.05200143876080843
2021-05-05,0.028812482616030977
2021-05-06,-0.13465741985489998
2021-05-07,-0.2140214517591719
2021-05-08,-0.16037788587317836
2021-05-09,-0.05770993592824279
2021-05-10,0.32866130172180935
2021-05-11,0.2984136580682945
2021-05-12,0.14216432384777264
2021-05-13,-0.16734931658522836
2021-05-14,-0.4017154845861679
2021-05-15,-0.5075549691818075
2021-05-16,-0.5640305355553968
2021-05-17,-0.3314221526974971
2021-05-18,-0.5049221179048038
2021-05-19,-0.7888327998981384
2021-05-20,-1.2055265762828562
2021-05-21,-1.522031214276384
2021-05-22,-1.6808714002467848
2021-05-23,-1.7577039448564393
2021-05-24,-1.5100064503916601
