ds,yhat
2021-01-01,80.96998840865048
2021-01-02,79.36722724389547
2021-01-03,86.40788182199833
2021-01-04,86.23088914242683
2021-01-05,86.46666605560253
2021-01-06,75.89648479556118
2021-01-07,73.65665499487422
2021-01-08,69.80487638563027
2021-01-09,65.4923973273842
2021-01-10,70.03772663926728
2021-01-11,67.62562488147216
2021-01-12,65.92623433789294
2021-01-13,53.75369693613713
2021-01-14,50.269752054666554
2021-01-15,45.549689739539176
2021-01-16,40.75430091813441
2021-01-17,45.20357356486259
2021-01-18,43.07585750529943
2021-01-19,42.027348885232605
2021-01-20,30.851230840086263
2021-01-21,28.681945547161398
2021-01-22,25.561952862315835
2021-01-23,22.614593853085488
2021-01-24,29.118782624934738
2021-01-25,29.209222007348142
2021-01-26,30.49696619640723
2021-01-27,21.72963891244818
2021-01-28,21.996754979024164
2021-01-29,21.297474668354607
2021-01-30,20.71438535231676
2021-01-31,29.489012763874662
2021-02-01,31.722739513693895
2021-02-02,34.99793977128406
2021-02-03,28.038628068426956
2021-02-04,29.91606406580234
2021-02-05,30.61664041250668
2021-02-06,31.215650284750435
2021-02-07,40.9526429053927
2021-02-08,43.93205441220545
2021-02-09,47.7439359190304
2021-02-10,41.12409287231418
2021-02-11,43.15909562023786
2021-02-12,43.85350850885059
2021-02-13,44.30295531236278
2021-02-14,53.76875106958295
2021-02-15,56.37780935633221
2021-02-16,59.74266776797162
2021-02-17,52.62096532947545
2021-02-18,54.119849514040034
2021-02-19,54.262675630939526
2021-02-20,54.16162912613814
2021-02-21,63.092010596035166
2021-02-22,65.19189905540595
2021-02-23,68.0820394227755
2021-02-24,60.52528780240231
2021-02-25,61.63108887102658
2021-02-26,61.422341709773235
2021-02-27,61.008275434888446
2021-02-28,69.65906281617058
2021-03-01,71.5058738119856
2021-03-02,74.1611998374911
2021-03-03,66.37876616516694
2021-03-04,67.2584901107303
2021-03-05,66.813824646572
2021-03-06,66.1450927343988
2021-03-07,74.5145254692325
2021-03-08,76.04669237720933
2021-03-09,78.34914296994693
2021-03-10,70.1725674487387
2021-03-11,70.61592713667635
2021-03-12,69.69388990358881
2021-03-13,68.51017412288986
2021-03-14,76.3325152863097
2021-03-15,77.29294725618035
2021-03-16,79.00822336895888
2021-03-17,70.23969362021037
2021-03-18,70.0980987688661
2021-03-19,68.61062844656837
2021-03-20,66.89385978943614
2021-03-21,74.22830441999916
2021-03-22,74.75826973546411
2021-03-23,76.1118735146592
2021-03-24,67.06054125806796
2021-03-25,66.72345925490218
2021-03-26,65.1343412188512
