ds,yhat
2021-01-01,0.06526043227856926
2021-01-02,0.0739568021570556
2021-01-03,0.0666460884771432
2021-01-04,0.0759052573049212
2021-01-05,0.06672805463232902
2021-01-06,0.07474454765065386
2021-01-07,0.07607728297029906
2021-01-08,0.07223985992985021
2021-01-09,0.08314145504276646
2021-01-10,0.0777693296969436
2021-01-11,0.08865037615739196
2021-01-12,0.08073580880010287
2021-01-13,0.0896217879928109
2021-01-14,0.09140644449994027
2021-01-15,0.08758907932420315
2021-01-16,0.09807505809782183
2021-01-17,0.09185842197376354
2021-01-18,0.10148326696996639
2021-01-19,0.09192800275896942
2021-01-20,0.09882528945197187
2021-01-21,0.09831813816610548
2021-01-22,0.09195797450093891
2021-01-23,0.09970821390403498
2021-01-24,0.090625405592476
2021-01-25,0.09731903560921355
2021-01-26,0.08483414150063115
2021-01-27,0.0888695803976432
2021-01-28,0.08563248009524026
2021-01-29,0.07673471544356464
2021-01-30,0.08219500043437043
2021-01-31,0.07111869114804684
2021-02-01,0.0761564246961538
2021-02-02,0.062385776336360284
2021-02-03,0.06552880056022542
2021-02-04,0.06180600348215069
2021-02-05,0.05283259980860145
2021-02-06,0.05862064870974184
2021-02-07,0.048259160585597344
2021-02-08,0.05437328969811353
2021-02-09,0.04200677799157822
2021-02-10,0.04684049287146387
2021-02-11,0.045047577695436866
2021-02-12,0.03819103497851327
2021-02-13,0.04622729957498832
2021-02-14,0.03818785403874268
2021-02-15,0.046639959715097185
2021-02-16,0.03657062699858833
2021-02-17,0.04360662632157934
2021-02-18,0.04387101924293069
2021-02-19,0.03888199314635586
2021-02-20,0.048557524208958217
2021-02-21,0.041897892994711416
2021-02-22,0.05144710388235156
2021-02-23,0.042177315495115095
2021-02-24,0.0497090739139263
2021-02-25,0.05016782496584298
2021-02-26,0.045082492758101236
2021-02-27,0.05438965935529298
2021-02-28,0.047115386431901836
2021-03-01,0.05583575230617754
2021-03-02,0.04556023876879623
2021-03-03,0.051950792123405386
2021-03-04,0.051177063759452995
2021-03-05,0.04481366605040801
2021-03-06,0.05284300526413836
2021-03-07,0.04433577653425169
2021-03-08,0.051910230631428196
2021-03-09,0.04061438241431754
2021-03-10,0.04614401667541812
2021-03-11,0.04469703100645641
2021-03-12,0.037869963790731334
2021-03-13,0.04566029905152937
2021-03-14,0.03714664013252192
2021-03-15,0.04494786966990771
2021-03-16,0.03410546603620654
2021-03-17,0.04030182605969408
2021-03-18,0.039715121740835455
2021-03-19,0.033916521579796244
2021-03-20,0.04287334571171416
2021-03-21,0.03563021995699342
2021-03-22,0.044769315852735005
2021-03-23,0.03529381384584317
2021-03-24,0.04284740482533705
2021-03-25,0.043570322488114675
2021-03-26,0.038997702353487415
2021-03-27,0.049063803271049394
2021-03-28,0.042784125583941054
2021-03-29,0.052716485363687525
2021-03-30,0.04384515832991312
2021-03-31,0.05180088980574614
2021-04-01,0.05271724963617995
2021-04-02,0.04813089655874816
2021-04-03,0.05798040263636673
2021-04-04,0.05129344181989374
2021-04-05,0.06064564524375773
2021-04-06,0.05104413472963918
2021-04-07,0.05814677388998473
2021-04-08,0.05811763970776105
2021-04-09,0.052524529963987134
2021-04-10,0.061342070444199745
2021-04-11,0.05363249181719032
2021-04-12,0.062005177867477244
2021-04-13,0.05149914620172585
2021-04-14,0.057801309086821503
2021-04-15,0.057101046909016
2021-04-16,0.05098693633750563
2021-04-17,0.05944922015846499
2021-04-18,0.05156010735842284
2021-04-19,0.059933018949971335
2021-04-20,0.04960494919847663
2021-04-21,0.05625479295013907
2021-04-22,0.05605816902472799
2021-04-23,0.05058457376251117
2021-04-24,0.05980043848310388
2021-04-25,0.05275016142952668
2021-04-26,0.062016207431205825
2021-04-27,0.05260241911394982
2021-04-28,0.060153361725686035
2021-04-29,0.06081020097224189
2021-04-30,0.05610891635204337
2021-05-01,0.06600466206125291
2021-05-02,0.05949296518815018
2021-05-03,0.06913152537282855
2021-05-04,0.0599040332643779
2021-05-05,0.06744015677550108
2021-05-06,0.0678719055060753
2021-05-07,0.06273216141717386
2021-05-08,0.07195890844377015
2021-05-09,0.06457719668642672
2021-05-10,0.07315990664033892
2021-05-11,0.06271143747244412
2021-05-12,0.06888713012642407
2021-05-13,0.06784892219768066
2021-05-14,0.0611630435106735
2021-05-15,0.0688033095900179
2021-05-16,0.0598320761000409
2021-05-17,0.0668599492568984
2021-05-18,0.054928407014684835
2021-05-19,0.05972817292981054
2021-05-20,0.05745387019482396
2021-05-21,0.049700793848770464
2021-05-22,0.05646738511575097
2021-05-23,0.046835494604635354
2021-05-24,0.05342954925652506
2021-05-25,0.04129879336881803
2021-05-26,0.04613545633613479
2021-05-27,0.04412938024016344
2021-05-28,0.03686494569479779
2021-05-29,0.04432387505575811
2021-05-30,0.0355659898066143
2021-05-31,0.0432185317617403
2021-06-01,0.03227065211483619
2021-06-02,0.0383809927221188
2021-06-03,0.03770377233363937
2021-06-04,0.031786735251977005
2021-06-05,0.04057500238791536
2021-06-06,0.033092871219053646
2021-06-07,0.04190463479712179
2021-06-08,0.03199854220422241
2021-06-09,0.039006703379680575
2021-06-10,0.03906142140085597
2021-06-11,0.033693741697461976
2021-06-12,0.04283775092470866
2021-06-13,0.03551265980188048
2021-06-14,0.044283732697792795
2021-06-15,0.034146184019259875
2021-06-16,0.040744847051066256
2021-06-17,0.04023010601711465
2021-06-18,0.034155893243571274
2021-06-19,0.04248330087454131
2021-06-20,0.03426186199089665
2021-06-21,0.04208958765196826
2021-06-22,0.030995906142269977
2021-06-23,0.03666033800506722
2021-06-24,0.03526742645183127
2021-06-25,0.02840375388313625
2021-06-26,0.03606062202819947
2021-06-27,0.027314476990838527
2021-06-28,0.03478618978531668
2021-06-29,0.023523359645429898
2021-06-30,0.02923782766545839
2021-07-01,0.028102250428640382
2021-07-02,0.021704939374141738
2021-07-03,0.030033181126679756
2021-07-04,0.022153802440941353
2021-07-05,0.030672748196464497
2021-07-06,0.02061782967537469
2021-07-07,0.027657479797010692
2021-07-08,0.027956030105771495
2021-07-09,0.02307132777648542
2021-07-10,0.03295825041732322
2021-07-11,0.02665017362462528
2021-07-12,0.03671946974945339
2021-07-13,0.028161168250723123
2021-07-14,0.03661258799010358
2021-07-15,0.0382094312602798
2021-07-16,0.03448413484739897
2021-07-17,0.045370015651070225
2021-07-18,0.039883248832554764
