ds,yhat
2021-01-01,4.313620900151383
2021-01-02,5.168970185935935
2021-01-03,4.4589988585346445
2021-01-04,4.7367894188878195
2021-01-05,3.9335343620779675
2021-01-06,3.660842157333364
2021-01-07,3.42255486892686
2021-01-08,3.321425237454306
2021-01-09,4.205352357024772
2021-01-10,3.5251797916773357
2021-01-11,3.8324169735922924
2021-01-12,3.0567791850237587
2021-01-13,2.8085466866572797
2021-01-14,2.590430729608907
2021-01-15,2.5042926485150825
2021-01-16,3.397413739701232
2021-01-17,2.720318573250977
2021-01-18,3.024511663798511
2021-01-19,2.2400221918800853
2021-01-20,1.977757058069744
2021-01-21,1.7413500678765943
2021-01-22,1.6338538480946638
2021-01-23,2.5039729348483433
2021-01-24,1.8038417316224562
2021-01-25,2.086708595114856
2021-01-26,1.2844223185647725
2021-01-27,1.0097230708751224
2021-01-28,0.7680275108138432
2021-01-29,0.6640566853312566
2021-01-30,1.5480071865652087
2021-01-31,0.873271263459038
2021-02-01,1.194069046221652
2021-02-02,0.442890886451484
2021-02-03,0.2327534132386253
2021-02-04,0.0689602736957795
2021-02-05,0.055717133859956025
2021-02-06,1.0423020349602652
2021-02-07,0.4807970622679343
2021-02-08,0.9237443718675427
2021-02-09,0.30162410029707276
2021-02-10,0.2251568935215542
2021-02-11,0.19712084735068158
2021-02-12,0.3190309260907158
2021-02-13,1.4373801850857488
2021-02-14,1.001446764754578
2021-02-15,1.561027549707564
2021-02-16,1.043993766852895
2021-02-17,1.0586689744024707
2021-02-18,1.1057169837280258
2021-02-19,1.2848856321635465
2021-02-20,2.4413037505905315
2021-02-21,2.0233335384703253
2021-02-22,2.580337766818929
2021-02-23,2.040255938112652
2021-02-24,2.011989075611609
2021-02-25,1.9972802970072914
2021-02-26,2.0974371113058874
2021-02-27,3.159593214863981
2021-02-28,2.6345128343071034
2021-03-01,3.074298254148403
2021-03-02,2.4098962259361008
2021-03-03,2.253404807436903
2021-03-04,2.109869917361545
2021-03-05,2.0839198751425343
2021-03-06,3.025938157354827
2021-03-07,2.3897799377314017
2021-03-08,2.7303955532391067
2021-03-09,1.9812590119577806
2021-03-10,1.7566053530180676
2021-03-11,1.5631681834849822
2021-03-12,1.5067674124587505
2021-03-13,2.4384488320655637
2021-03-14,1.8121821449607785
2021-03-15,2.18248120105802
2021-03-16,1.4818447438008457
2021-03-17,1.3230212174327516
2021-03-18,1.2107882619903823
2021-03-19,1.2485957963703807
2021-03-20,2.284772826573779
2021-03-21,1.770302715322248
2021-03-22,2.2565285124952
2021-03-23,1.672684244762321
2021-03-24,1.6282531429211844
2021-03-25,1.6248407632936188
2021-03-26,1.7629092121075327
2021-03-27,2.888069975518637
2021-03-28,2.4489375902102397
2021-03-29,2.9949034591522476
2021-03-30,2.453723690079582
2021-03-31,2.433920248234514
2021-04-01,2.436682077378975
2021-04-02,2.5626115239113374
2021-04-03,3.6580131220861842
2021-04-04,3.1727270543403803
2021-04-05,3.6578670632747063
2021-04-06,3.043357677663903
2021-04-07,2.940271437178315
2021-04-08,2.8526545596596145
2021-04-09,2.8841885152366187
2021-04-10,3.8843870011349892
2021-04-11,3.3063332258943396
2021-04-12,3.7043200905403566
2021-04-13,3.011290944980765
2021-04-14,2.8410844229856016
2021-04-15,2.7001745133910418
2021-04-16,2.694255865680528
2021-04-17,3.6743761040510954
2021-04-18,3.094622017739437
2021-04-19,3.5097237955825746
2021-04-20,2.8524761367049525
2021-04-21,2.735980432404559
2021-04-22,2.6653993840361165
2021-04-23,2.744573769210171
2021-04-24,3.822202356770547
2021-04-25,3.3495905967253776
2021-04-26,3.878330576057853
2021-04-27,3.337809005879936
2021-04-28,3.3375450356499163
2021-04-29,3.3790465941061782
2021-04-30,3.5625321124761884
2021-05-01,4.733943013257709
2021-05-02,4.340612843547054
2021-05-03,4.931226111652246
2021-05-04,4.432687292421166
2021-05-05,4.452535975785924
2021-05-06,4.490867229806886
2021-05-07,4.64710211770256
2021-05-08,5.766304903155278
2021-05-09,5.297048538781719
2021-05-10,5.7891874485526
2021-05-11,5.171431542047822
2021-05-12,5.053721164408078
2021-05-13,4.939090387954131
2021-05-14,4.930365046342336
2021-05-15,5.8763939445147955
2021-05-16,5.229817124744753
2021-05-17,5.544732808363175
2021-05-18,4.754159811679026
2021-05-19,4.472298173025788
2021-05-20,4.206278518456079
2021-05-21,4.0627496898881335
2021-05-22,4.8940061067929355
2021-05-23,4.155661608911476
2021-05-24,4.404234016932489
2021-05-25,3.574539503144822
2021-05-26,3.2819014150518684
2021-05-27,3.033865544247356
2021-05-28,2.9367723471421936
2021-05-29,3.841888061257733
2021-05-30,3.203101414289539
2021-05-31,3.5765722654357357
2021-06-01,2.8921168160785657
2021-06-02,2.76155922985764
2021-06-03,2.688512913594383
2021-06-04,2.775052975028355
2021-06-05,3.8679564467860628
2021-06-06,3.416514056277084
2021-06-07,3.970274130718816
2021-06-08,3.4566135029956886
2021-06-09,3.483135372431802
2021-06-10,3.549581091081712
2021-06-11,3.7546011654283116
2021-06-12,4.942082149231385
2021-06-13,4.559030949530438
2021-06-14,5.153375269298295
2021-06-15,4.651573627951091
2021-06-16,4.661033967866396
2021-06-17,4.68202737328683
2021-06-18,4.814442258700187
2021-06-19,5.90407627576942
2021-06-20,5.400468521599511
2021-06-21,5.854632287343244
2021-06-22,5.1965837135184465
2021-06-23,5.0376676389433035
2021-06-24,4.8823697363543035
2021-06-25,4.83496307270657
2021-06-26,5.74568926027373
2021-06-27,5.068479751771452
2021-06-28,5.358580460040225
2021-06-29,4.549977899698503
2021-06-30,4.260406909363904
2021-07-01,3.99475078787402
2021-07-02,3.85994532916511
2021-07-03,4.708327319087817
2021-07-04,3.9953149544420734
2021-07-05,4.277008050003692
2021-07-06,3.487606577893722
2021-07-07,3.241651345271038
2021-07-08,3.0457777019302843
2021-07-09,3.0053314531486164
2021-07-10,3.9705474010604687
2021-07-11,3.394295549118297
2021-07-12,3.8297568807124422
2021-07-13,3.2079249368499467
2021-07-14,3.1399345133137713
2021-07-15,3.1289057915155487
2021-07-16,3.276650485390336
2021-07-17,4.429937894580034
2021-07-18,4.038323498099469
2021-07-19,4.651899800682983
2021-07-20,4.1988637200483785
2021-07-21,4.287900214600556
2021-07-22,4.42006920335787
2021-07-23,4.695541488492124
2021-07-24,5.959881108957091
2021-07-25,5.661876715295826
2021-07-26,6.351282046018737
2021-07-27,5.956360556819613
2021-07-28,6.086235030562254
2021-07-29,6.242730673779323
2021-07-30,6.5300869211842425
